Start station number,Start station,End station number,End station,Bike model,Date,total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
3471,"Chadwell Street, Angel",300075,"Upcerne Road, West Chelsea",CLASSIC,2023-08-26 18:00:00,4.465908118654584,11.966953,,0.47474754,0.45364448,0.6352938,0.37314367,26,6,18,1,Evening,Saturday,Weekend
300211,"Ossulston Street, Somers Town",1068,"Norton Folgate, Liverpool Street",CLASSIC,2023-08-25 09:00:00,2.8903717578961645,7.653705,,0.46464646,0.4679393,0.8822655,0.32405972,25,5,9,0,Morning,Friday,Weekday
1088,"Triangle Car Park, Hyde Park",1085,"Old Quebec Street, Marylebone",CLASSIC,2023-08-26 15:00:00,4.0943445622221,17.238699,,0.4848485,0.4355149,0.53870064,0.4399227,26,6,15,1,Afternoon,Saturday,Weekend
2587,"Wormwood Street, Liverpool Street",1051,"Shoreditch Park, Hoxton",CLASSIC,2023-08-23 19:00:00,2.5649493574615367,6.297428,,0.7845118,0.87005854,0.92756957,0.4715128,23,3,19,0,Evening,Wednesday,Weekday
1145,"Earnshaw Street , Covent Garden",22176,"Reardon Street, Wapping",CLASSIC,2023-08-22 19:00:00,3.58351893845611,10.233123,,0.6835017,0.70090735,0.84005207,0.39274895,22,2,19,0,Evening,Tuesday,Weekday
1086,"Baker Street, Marylebone",2680,"Harrowby Street, Marylebone",CLASSIC,2023-08-09 12:00:00,1.791759469228055,7.628263,,0.7138047,0.808236,0.5804307,0.27944994,9,3,12,0,Afternoon,Wednesday,Weekday
1065,"Aldersgate Street, Barbican",2691,"Howland Street, Fitzrovia",CLASSIC,2023-08-14 11:00:00,2.995732273553991,25.842384,,0.7306397,0.65240216,0.3498699,0.4927603,14,1,11,0,Morning,Monday,Weekday
200120,"Grant Road East, Clapham Junction",200120,"Grant Road East, Clapham Junction",CLASSIC,2023-08-09 13:00:00,3.4965075614664802,9.028754,,0.8080808,0.8694807,0.6456525,0.18105596,9,3,13,0,Afternoon,Wednesday,Weekday
1206,"Montpelier Street, Knightsbridge",1099,"Frampton Street, Paddington",CLASSIC,2023-08-11 21:00:00,2.8903717578961645,12.599998,,0.4848485,0.536973,0.43045402,0.73013985,11,5,21,0,Night,Friday,Weekday
300228,"Westferry Circus, Canary Wharf",200143,"Lancaster Drive, Blackwall",CLASSIC,2023-08-03 11:00:00,2.3978952727983707,16.279802,,0.64309764,0.56861246,0.9092559,0.20802802,3,4,11,0,Morning,Thursday,Weekday
