Start station number,Start station,End station number,End station,Bike model,Date,Total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
300040,"Ada Street, Hackney Central",300213,"Monier Road, Hackney Wick",CLASSIC,2023-08-20 16:00:00,3.367295829986474,19.083395,,0.8653198653198655,0.7737126011380184,0.5073082635349208,0.19429746071636855,20,7,16,1,Afternoon,Sunday,Weekend
1186,"Belvedere Road 1, South Bank",300081,"Haggerston Road, Haggerston",CLASSIC,2023-08-03 20:00:00,3.295836866004329,6.6185193,,0.3535353535353536,0.4363185478441804,0.7651115204952651,0.7213359965852099,3,4,20,0,Evening,Thursday,Weekday
200027,"Ford Road, Old Ford",300039,"Wendon Street, Old Ford",CLASSIC,2023-08-19 14:00:00,3.5263605246161616,25.96496,,0.872053872053872,0.7333953182615858,0.4664853939988116,0.2232937176837525,19,6,14,1,Afternoon,Saturday,Weekend
3477,"Porchester Place, Paddington",3477,"Porchester Place, Paddington",CLASSIC,2023-08-25 20:00:00,1.9459101490553132,12.599998,,0.3400674074074075,0.34446757643267784,0.5025176800460888,0.576272984205708,25,5,20,0,Evening,Friday,Weekday
300249,"Westminster Pier, Westminster",1184,"St. Mary Axe, Aldgate",CLASSIC,2023-08-13 17:00:00,4.442651256490317,24.184391,,0.6936026936026938,0.5668378748089253,0.46381323833241506,0.2781653232701854,13,7,17,1,Evening,Sunday,Weekend
200017,"Lancaster Gate , Bayswater",1138,"Elizabeth Bridge, Victoria",CLASSIC,2023-08-31 19:00:00,3.1354942159291497,7.9932966,,0.37710437710437716,0.4552454297665693,0.02700367687875127,0.7416179299568307,31,4,19,0,Evening,Thursday,Weekday
300248,"Sopwith Way, Battersea Park",300045,"Albert Bridge Road, Battersea Park",CLASSIC,2023-08-27 11:00:00,1.791759469228055,19.416653,,0.565656632996633,0.47380883146624236,0.7132782687172,0.25963051155667427,27,7,11,1,Morning,Sunday,Weekend
200252,"Bow Church Station, Bow",3467,"Dock Street, Wapping",CLASSIC,2023-08-08 08:00:00,2.9444389791664403,13.202726,,0.2895623569023569,0.3109396515341977,0.5512854405874711,0.7193657587358523,8,2,8,0,Morning,Tuesday,Weekday
1090,"Warren Street Station, Euston",3421,"Red Lion Square, Holborn",CLASSIC,2023-08-01 21:00:00,2.1972245773362196,17.873556,,0.47138047138047146,0.46975821917885713,0.3893574962070263,0.6915193727588774,1,2,21,0,Night,Tuesday,Weekday
200208,"Sugden Road, Clapham",200106,"Spanish Road, Clapham Junction",PBSC_EBIKE,2023-08-13 21:00:00,1.9459101490553132,16.263872,,0.4478115151515152,0.44064076613145026,0.3898103971864918,0.6167059092122485,13,7,21,1,Night,Sunday,Weekend
3481,"Rodney Road , Walworth",1048,"Queen Victoria Street, St. Paul's",CLASSIC,2023-08-01 08:00:00,2.4849066497880004,24.863468,,0.4747474747474749,0.3676217474884506,0.6769569308852011,0.46762119106344835,1,2,8,0,Morning,Tuesday,Weekday
22170,"Kennington Station, Kennington",200133,"South Lambeth Road, Vauxhall",CLASSIC,2023-08-19 20:00:00,2.302585092994046,15.7908325,,0.5151515824915824,0.5236990236666641,0.45829736621172557,0.6329298924261221,19,6,20,1,Evening,Saturday,Weekend
3458,"Waterloo Place, St. James's",3458,"Waterloo Place, St. James's",CLASSIC,2023-08-21 17:00:00,3.4339872044851463,16.418526,,0.8181818855218854,0.7639454208280674,0.4980632599714113,0.2623997782696236,21,1,17,0,Evening,Monday,Weekday
1011,"Argyle Street, Kings Cross",3507,"Store Street, Bloomsbury",CLASSIC,2023-08-01 07:00:00,2.0794415416798357,22.007162,,0.40067340067340074,0.3351929188961063,0.6492964655951482,0.5878100705210972,1,2,7,0,Morning,Tuesday,Weekday
300226,"Copper Box Arena, Queen Elizabeth Olympic Park",300234,"Stratford Station, Stratford",CLASSIC,2023-08-26 01:00:00,2.3978952727983707,9.726664,,0.18518518518518523,0.25372299921816394,0.4931174252710059,0.887711597715715,26,6,1,1,Night,Saturday,Weekend
1169,"Grosvenor Crescent, Belgravia",300242,"Allington Street, Victoria",CLASSIC,2023-08-27 16:00:00,3.9318256327243257,19.191748,,0.6026936026936027,0.4998568708228061,0.7687386284470655,0.2383292402936329,27,7,16,1,Afternoon,Sunday,Weekend
300062,"South Bermondsey Station, Bermondsey",2694,"Clapham Common Station, Clapham Common",CLASSIC,2023-08-28 14:00:00,3.5553480614894135,11.988594,,0.6329967003367003,0.5955258837519533,0.8815481563951867,0.2537959467580594,28,1,14,0,Afternoon,Monday,Weekday
1025,"Bolsover Street, Fitzrovia",1188,"London Zoo Car Park, The Regent's Park",CLASSIC,2023-08-29 18:00:00,2.0794415416798357,17.148247,,0.5185185185185186,0.4602250239585796,0.49292020349210197,0.3833037737248616,29,2,18,0,Evening,Tuesday,Weekday
200012,"Stepney Green Station, Stepney",22174,"Granby Street, Shoreditch",CLASSIC,2023-08-11 17:00:00,2.639057329615259,20.808498,,0.8148148148148149,0.7803385203045425,0.4005102770053013,0.4534827703682581,11,5,17,0,Evening,Friday,Weekday
300206,"Saltoun Road, Brixton",300015,"Binfield Road, Stockwell",CLASSIC,2023-08-30 13:00:00,3.044522437723423,17.902534,,0.6060606060606062,0.5205626843566031,0.7330858059663002,0.12409829869018285,30,3,13,0,Afternoon,Wednesday,Weekday
